saledate,saledate_y,ward,age,rmdl,ttl_bathrms,heat_d,ac,num_units,rooms,bedrms,stories,log_gba,extwall_d,roof_d,floor_d,kitchens,fireplaces,landarea,price,log_price
2019-09-26,2019,7,10 or Fewer,No,2.5,Forced Air,Yes,1,5 or Fewer,3,2 or Fewer,7.326465613840322,Brick,Shingle,Hard,1,0,"1,000 to 1,999",509000.0,13.14020329553266
2019-09-26,2019,5,71 to 80,No,1.5,Dual Climate,Yes,1,7,3,2 or Fewer,6.893656354602635,Brick,Shingle,Soft,1,0,"2,000 to 4,999",400000.0,12.89921982609012
2019-09-26,2019,4,91 to 100,Yes,3.5,Forced Air,Yes,2 or More,9,4,2 or Fewer,7.176254532017144,Brick,Metal,Hard,2 or More,0,"1,000 to 1,999",820000.0,13.617059619240436
2019-09-26,2019,6,101 to 110,Yes,3.5,Hot Water,No,2 or More,6,4,2 or Fewer,7.425357887027151,Brick,Metal,Hard,2 or More,0,"2,000 to 4,999",1238800.0,14.029653727081184
2019-09-27,2019,6,101 to 110,No,3,Dual Climate,Yes,1,7,4,2 or Fewer,7.388946097618437,Brick,Metal,Hard,1,0,"1,000 to 1,999",904000.0,13.714584639374314
2019-09-27,2019,4,61 to 70,Yes,2.5,Forced Air,Yes,1,6,2 or Fewer,2 or Fewer,6.761572768804055,Brick,Shingle,Hard,1,0,"2,000 to 4,999",516000.0,13.1538620444637
2019-09-27,2019,5,61 to 70,Yes,2.5,Forced Air,Yes,1,5 or Fewer,3,2 or Fewer,6.992096427415888,Brick,Flat,Hard,1,0,"2,000 to 4,999",555000.0,13.226723392728571
2019-09-27,2019,5,91 to 100,Yes,2,Hot Water,No,1,7,3,2 or Fewer,7.450079569807499,Brick,Flat,Hard,1,1,"2,000 to 4,999",727200.0,13.496956821845407
2019-09-30,2019,3,11 to 60,Yes,3,Forced Air,Yes,1,10 or More,3,2 or Fewer,7.170119543449628,Brick,Flat,Hard,1,1,"2,000 to 4,999",1125000.0,13.933293593620657
2019-09-30,2019,3,111 or More,No,3.5,Hot Water,Yes,1,7,3,2 or Fewer,7.438383530044307,Siding and Stucco,Shingle,Hard,1,1,"2,000 to 4,999",1080000.0,13.892471599100402
2019-09-30,2019,3,91 to 100,No,3,Dual Climate,Yes,1,7,3,2 or Fewer,7.177782416195197,Stone,Metal,Hard,1,1,"2,000 to 4,999",920000.0,13.732128949025222
